source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
all,Memory,MRAM,MRAM / spintronic memory,3163,962,852,0.35244085441625594,0.33561206765297463,1.0500847782061031,0.01682878676328131,0.008322857632648874,2014.0,2023,2023-2025,2020-2022
all,Materials & power devices,SiQubit,Silicon spin qubit,309,100,92,0.03663626345283325,0.03624320385021324,1.0107284432382686,0.0003930596026200106,0.003234636310510412,2015.0,2022,2023-2025,2020-2022
all,Interconnect & BEOL,HKMG,High-k / metal gate,2322,629,617,0.2305080423925363,0.24306583451719097,0.9484194391302398,-0.01255779212465466,0.0009306534448915733,2014.0,2019,2023-2025,2020-2022
all,Transistor architecture,FinFET,FinFET,9027,2213,2218,0.8107605102112,0.8737763710844888,0.9279135203894766,-0.06301586087328881,-0.033043039852056075,2014.0,2016,2023-2025,2020-2022
all,Lithography & patterning,MultiPatterning,Multi-patterning (SADP/SAQP/LELE),560,145,153,0.05312258200660822,0.060274023794376366,0.8821216270823412,-0.007151441787768144,-0.00017378236278234186,2014.0,2019,2023-2025,2020-2022
all,Transistor architecture,TFET,Tunnel FET,3431,820,945,0.3004173603132327,0.37228073520055993,0.8071686160819278,-0.07186337488732725,-0.0095447400861629,2014.0,2016,2023-2025,2020-2022
all,Lithography & patterning,NIL,Nanoimprint lithography,2419,485,562,0.17768587774624128,0.2212332436761169,0.8035107261591613,-0.043547365929875625,-0.02039787638592335,2014.0,2017,2023-2025,2020-2022
all,Interconnect & BEOL,Airgap,Air-gap / low-k dielectric,270,69,81,0.025279021782454947,0.03190977730290514,0.7947371244219474,-0.006630755520450192,0.0005351863916554122,2014.0,2019,2023-2025,2020-2022
all,Lithography & patterning,DSA,Directed self-assembly,518,94,111,0.03443808764566326,0.043728213341018146,0.7894453616775844,-0.009290125695354888,-0.006211856434301659,2014.0,2014,2023-2025,2020-2022
all,Memory,PCM,Phase-change memory,2848,632,813,0.23154118502190618,0.32027961663286264,0.7232748769013818,-0.08873843161095646,-0.011754697964886401,2014.0,2014,2023-2025,2020-2022
arxiv,Advanced packaging,UCIe,UCIe / die-to-die standards,7,4,0,0.019900205009735904,0.0,4.885152585717093,0.019900205009735904,0.001907125594718923,,2025,2023-2025,2020-2022
arxiv,Transistor architecture,Node,"Advanced node (7/5/3/2 nm, A16/A14)",93,53,11,0.2629314586911356,0.05823846707913399,4.230604570637598,0.2046929916120016,0.013061748970546358,2023.0,2025,2023-2025,2020-2022
arxiv,Transistor architecture,BSPDN,Backside power delivery,6,3,0,0.014925153757301928,0.0,3.9138644392878197,0.014925153757301928,0.0014755401655531031,,2024,2023-2025,2020-2022
arxiv,Transistor architecture,CFET,CFET (complementary FET),12,7,1,0.03482535876703783,0.005122116717601934,3.899508512502456,0.029703242049435898,0.003827034452978223,2025.0,2025,2023-2025,2020-2022
arxiv,Advanced packaging,Chiplet,Chiplet / disaggregation,258,142,37,0.706656279895722,0.18951831855127158,3.656888639968789,0.5171379613444504,0.0734002534717895,2020.0,2025,2023-2025,2020-2022
arxiv,Advanced packaging,HybridBonding,Hybrid bonding / SoIC,26,10,2,0.050198267137058813,0.010244233435203868,3.6000991324904557,0.03995403370185495,0.004902379732898695,2025.0,2025,2023-2025,2020-2022
arxiv,Lithography & patterning,MultiPatterning,Multi-patterning (SADP/SAQP/LELE),14,6,1,0.029850307514603856,0.005122116717601934,3.41386443928782,0.02472819079700192,-0.0006924129234477527,2023.0,2023,2023-2025,2020-2022
arxiv,Design & compute,MLforEDA,ML for EDA / chip design,25,14,4,0.06965071753407566,0.020488466870407736,2.9196068100019654,0.049162250663667924,0.007243086582955483,2023.0,2025,2023-2025,2020-2022
