source,concept,synonym,year,docs
all,AIAccel,deep learning accelerator,2025,23
all,AIAccel,transformer accelerator,2025,22
all,AIAccel,inference accelerator,2025,22
all,AIAccel,LLM accelerator,2025,18
all,AIAccel,tensor processing unit,2025,6
all,AIAccel,AI ASIC,2025,2
all,AIAccel,AI accelerator,2026,85
all,AIAccel,NPU,2026,52
all,AIAccel,TPU,2026,41
all,AIAccel,systolic array,2026,39
all,AIAccel,neural network accelerator,2026,32
all,AIAccel,neural processing unit,2026,27
all,AIAccel,AI chip,2026,21
all,AIAccel,transformer accelerator,2026,16
all,AIAccel,DNN accelerator,2026,14
all,AIAccel,LLM accelerator,2026,10
all,AIAccel,tensor processing unit,2026,10
all,AIAccel,inference accelerator,2026,8
all,AIAccel,deep learning accelerator,2026,6
all,AIAccel,AI ASIC,2026,2
all,Airgap,low k dielectric,2014,5
all,Airgap,ultra low k,2014,4
all,Airgap,ULK dielectric,2014,1
all,Airgap,air gap interconnect,2014,1
all,Airgap,low k dielectric,2015,8
all,Airgap,ultra low k,2015,7
all,Airgap,porous low k,2015,3
all,Airgap,low k dielectric,2016,9
all,Airgap,ultra low k,2016,3
all,Airgap,porous low k,2016,2
all,Airgap,low k dielectric,2017,5
all,Airgap,ultra low k,2017,4
all,Airgap,ULK dielectric,2017,1
all,Airgap,porous low k,2017,1
all,Airgap,low k dielectric,2018,9
all,Airgap,porous low k,2018,8
all,Airgap,ultra low k,2018,4
all,Airgap,ULK dielectric,2018,1
all,Airgap,low k dielectric,2019,26
all,Airgap,ultra low k,2019,10
all,Airgap,porous low k,2019,2
all,Airgap,low k dielectric,2020,20
all,Airgap,ultra low k,2020,3
all,Airgap,porous low k,2020,3
all,Airgap,air gap interconnect,2020,1
all,Airgap,air gap dielectric,2020,1
all,Airgap,low k dielectric,2021,22
all,Airgap,ultra low k,2021,8
all,Airgap,porous low k,2021,2
all,Airgap,ULK dielectric,2021,1
all,Airgap,low k dielectric,2022,20
all,Airgap,ultra low k,2022,3
all,Airgap,porous low k,2022,3
all,Airgap,low k dielectric,2023,14
all,Airgap,porous low k,2023,5
all,Airgap,ultra low k,2023,3
all,Airgap,low k dielectric,2024,16
all,Airgap,ultra low k,2024,4
all,Airgap,ULK dielectric,2024,1
all,Airgap,low k dielectric,2025,22
all,Airgap,ultra low k,2025,3
all,Airgap,ULK dielectric,2025,2
all,Airgap,porous low k,2025,1
